island,site,date,type,number,result,ground
rota,grvp,16-Jul-13,native,65,unpredated,n
rota,grvp,16-Jul-13,native,66,unpredated,n
rota,grvp,16-Jul-13,native,68,unpredated,n
rota,grvp,16-Jul-13,native,69,unpredated,n
rota,grvp,16-Jul-13,native,70,unpredated,n
rota,grvp,16-Jul-13,native,71,unpredated,n
rota,grvp,16-Jul-13,native,72,unpredated,n
rota,grvp,16-Jul-13,native,73,unpredated,n
rota,grvp,16-Jul-13,native,74,question,y
rota,grvp,16-Jul-13,native,75,unpredated,n
rota,grvp,16-Jul-13,native,76,unpredated,n
rota,grvp,16-Jul-13,native,77,unpredated,n
rota,grvp,16-Jul-13,native,78,unpredated,n
rota,grvp,16-Jul-13,native,79,unpredated,n
rota,grvp,16-Jul-13,native,80,unpredated,n
rota,grvp,16-Jul-13,native,81,predated,n
rota,grvp,16-Jul-13,native,82,unpredated,n
rota,grvp,16-Jul-13,native,83,predated,y
rota,grvp,16-Jul-13,native,84,unpredated,n
rota,grvp,16-Jul-13,native,85,predated,n
rota,grvp,16-Jul-13,native,86,unpredated,n
rota,grvp,16-Jul-13,native,87,predated,n
rota,grvp,16-Jul-13,native,88,unpredated,n
rota,grvp,16-Jul-13,native,89,unpredated,n
rota,grvp,16-Jul-13,native,90,predated,n
rota,grvp,16-Jul-13,native,91,unpredated,n
rota,grvp,16-Jul-13,native,92,unpredated,n
rota,grvp,16-Jul-13,native,93,unpredated,n
rota,grvp,16-Jul-13,native,94,unpredated,n
rota,grvp,16-Jul-13,native,95,unpredated,n
rota,grvp,16-Jul-13,native,96,unpredated,n
rota,grvp,16-Jul-13,native,97,unpredated,n
rota,grvp,16-Jul-13,native,98,unpredated,n
rota,grvp,16-Jul-13,native,99,unpredated,n
rota,grvp,16-Jul-13,native,100,unpredated,n
rota,grvp,16-Jul-13,native,101,unpredated,n
rota,grvp,16-Jul-13,native,102,unpredated,n
rota,grvp,16-Jul-13,native,103,unpredated,n
rota,grvp,16-Jul-13,native,104,unpredated,n
rota,grvp,16-Jul-13,native,105,unpredated,n
rota,grvp,16-Jul-13,native,106,unpredated,n
rota,grvp,16-Jul-13,native,107,unpredated,n
rota,grvp,16-Jul-13,native,108,unpredated,n
rota,grvp,16-Jul-13,native,109,unpredated,n
rota,grvp,16-Jul-13,native,110,unpredated,n
rota,grvp,16-Jul-13,native,111,missing,n
rota,grvp,16-Jul-13,native,112,unpredated,n
rota,grvp,16-Jul-13,native,113,unpredated,n
rota,grvp,16-Jul-13,native,114,unpredated,n
rota,grvp,16-Jul-13,native,115,unpredated,n
rota,grvp,16-Jul-13,native,116,unpredated,n
rota,grvp,16-Jul-13,native,117,unpredated,n
rota,grvp,16-Jul-13,native,118,unpredated,n
rota,grvp,16-Jul-13,native,119,unpredated,n
rota,grvp,16-Jul-13,native,120,unpredated,n
rota,grvp,16-Jul-13,native,121,unpredated,n
rota,grvp,16-Jul-13,native,122,predated,n
rota,grvp,16-Jul-13,native,123,missing,n
rota,grvp,16-Jul-13,native,124,unpredated,n
rota,grvp,16-Jul-13,native,125,unpredated,n
rota,grvp,16-Jul-13,native,126,unpredated,n
rota,grvp,16-Jul-13,native,127,unpredated,n
rota,grvp,16-Jul-13,native,128,unpredated,n
