island,site,date,type,number,result,ground,predation
rota,tweksberry,17-Jul-13,disturbed,34,n,n,0
rota,tweksberry,17-Jul-13,disturbed,37,n,n,0
rota,tweksberry,17-Jul-13,disturbed,39,n,n,0
rota,tweksberry,17-Jul-13,disturbed,41,n,n,0
rota,tweksberry,17-Jul-13,disturbed,45,n,n,0
rota,tweksberry,17-Jul-13,disturbed,46,n,n,0
rota,tweksberry,17-Jul-13,disturbed,47,n,n,0
rota,tweksberry,17-Jul-13,disturbed,48,n,n,0
rota,tweksberry,17-Jul-13,disturbed,49,n,n,0
rota,tweksberry,17-Jul-13,disturbed,51,n,n,0
rota,tweksberry,17-Jul-13,disturbed,52,n,n,0
rota,tweksberry,17-Jul-13,disturbed,53,n,n,0
rota,tweksberry,17-Jul-13,disturbed,54,n,n,0
rota,tweksberry,17-Jul-13,disturbed,56,n,n,0
rota,tweksberry,17-Jul-13,disturbed,57,n,n,0
rota,tweksberry,17-Jul-13,disturbed,58,n,n,0
rota,tweksberry,17-Jul-13,disturbed,59,n,n,0
rota,tweksberry,17-Jul-13,disturbed,60,n,n,0
rota,tweksberry,17-Jul-13,disturbed,62,n,n,0
rota,tweksberry,17-Jul-13,disturbed,63,n,n,0
rota,tweksberry,17-Jul-13,disturbed,64,n,n,0
rota,tweksberry,17-Jul-13,disturbed,65,n,n,0
rota,tweksberry,17-Jul-13,disturbed,66,n,n,0
rota,tweksberry,17-Jul-13,disturbed,67,n,n,0
rota,tweksberry,17-Jul-13,disturbed,71,n,n,0
rota,tweksberry,17-Jul-13,disturbed,76,n,n,0
rota,tweksberry,17-Jul-13,disturbed,77,n,n,0
rota,tweksberry,17-Jul-13,disturbed,78,n,n,0
rota,tweksberry,17-Jul-13,disturbed,79,n,n,0
rota,tweksberry,17-Jul-13,disturbed,81,n,n,0
rota,tweksberry,17-Jul-13,disturbed,83,n,n,0
rota,tweksberry,17-Jul-13,disturbed,84,n,n,0
rota,tweksberry,17-Jul-13,disturbed,86,n,n,0
rota,tweksberry,17-Jul-13,disturbed,87,n,n,0
rota,tweksberry,17-Jul-13,disturbed,88,n,n,0
